,,,,,,
,,,,,,
,,,,,,
2023 Worldwide Box Office,,,,,,
2023,,,,,,
Rank,Release Group,Worldwide,Domestic,%,Foreign,%
95,Anatomy of a Fall,"$35,948,315","$5,076,369",14.10%,"$30,871,946",85.90%
96,The Bremen Town Musicians,"$34,596,570",-,-,"$34,596,570",100%
97,Noryang: Deadly Sea,"$34,210,966","$315,245",0.90%,"$33,895,721",99.10%
98,Alibi.com 2,"$34,114,308",-,-,"$34,114,308",100%
99,Priscilla,"$33,111,603","$20,960,939",63.30%,"$12,150,664",36.70%
100,Don't Call it Mystery: The Movie,"$32,488,540",-,-,"$32,488,540",100%
101,The Three Musketeers - Part I: D'Artagnan,"$32,375,003",-,-,"$32,375,003",100%
102,Tokyo MER,"$30,239,900",-,-,"$30,239,900",100%
103,Concrete Utopia,"$30,077,348",-,-,"$30,077,348",100%
104,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.60%,"$21,198,613",72.40%
105,Book Club: The Next Chapter,"$29,014,500","$17,581,565",60.60%,"$11,432,935",39.40%
106,I Wish I Could Meet You Again on the Hill Where That Flower Blooms (2023),"$28,933,626",-,-,"$28,933,626",100%
107,Jawan,"$28,499,044","$15,198,530",53.30%,"$13,300,514",46.70%
108,The Wish of the Fairy Fish,"$28,218,581",-,-,"$28,218,581",100%
109,Toy Story 2023 Re-release,"$27,503,758",-,-,"$27,503,758",100%
110,Renfield,"$26,493,921","$17,297,895",65.30%,"$9,196,026",34.70%
111,Perfect Days,"$25,415,302","$3,766,668",14.80%,"$21,648,634",85.20%
112,Gravity 2023 Re-release (10th Anniversary),"$24,981,634",-,-,"$24,981,634",100%
113,Frozen 2023 Re-release (Sing -A-Long),"$24,395,877",-,-,"$24,395,877",100%
114,Shin Jigen! Crayon Shin-chan the Movie,"$23,655,553",-,-,"$23,655,553",100%
115,The Challenge,"$23,219,519",-,-,"$23,219,519",100%
116,American Fiction,"$22,483,370","$21,098,470",93.80%,"$1,384,900",6.20%
117,The Last Voyage of the Demeter,"$21,786,275","$13,637,180",62.60%,"$8,149,095",37.40%
118,Radical,"$21,767,065","$8,702,731",40%,"$13,064,334",60%
119,Guy Ritchie's the Covenant,"$21,632,392","$16,938,039",78.30%,"$4,694,353",21.70%
120,"Are You There God? It's Me, Margaret.","$21,464,043","$20,372,406",94.90%,"$1,091,637",5.10%
121,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$21,112,012",-,-,"$21,112,012",100%
122,Saltburn,"$21,026,167","$11,425,829",54.30%,"$9,600,338",45.70%
123,Dumb Money,"$20,703,794","$13,925,356",67.30%,"$6,761,614",32.70%
124,All of Us Strangers,"$20,226,058","$4,050,103",20%,"$16,175,955",80%
125,My Happy Marriage,"$19,506,407",-,-,"$19,506,407",100%
126,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%
127,Champions,"$19,159,065","$16,397,335",85.60%,"$2,761,730",14.40%
128,Retribution,"$18,685,751","$6,937,696",37.10%,"$11,748,055",62.90%
129,Next Goal Wins,"$18,648,802","$6,713,826",36%,"$11,934,976",64%
130,Love Reset,"$18,425,590",-,-,"$18,425,590",100%
131,The Blackening,"$18,169,453","$17,707,207",97.50%,"$462,246",2.50%
132,About My Father,"$18,167,819","$12,089,391",66.50%,"$6,078,428",33.50%
133,The Birth of Kitaro: Mystery of GeGeGe,"$18,136,207",-,-,"$18,136,207",100%
134,Mavka: The Forest Song,"$17,974,964",-,-,"$17,974,964",100%
135,The Blind,"$17,265,487","$17,265,487",100%,-,-
136,Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,-,"$17,216,567",100%
137,Hypnotic,"$16,281,937","$4,500,169",27.60%,"$11,781,768",72.40%
138,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
139,Die drei ??? - Erbe des Drachen,"$15,860,016",-,-,"$15,860,016",100%
140,Shin Kamen Rider,"$15,835,414",-,-,"$15,835,414",100%
141,Joy Ride,"$15,787,674","$12,897,789",81.70%,"$2,889,885",18.30%
142,Dunki,"$15,473,051","$7,460,159",48.20%,"$8,012,892",51.80%
143,The Three Musketeers - Part II: Milady,"$15,432,295",-,-,"$15,432,295",100%
144,Only 3 Days Left,"$15,152,854",-,-,"$15,152,854",100%
145,Tonde Saitama: Biwako Yori Ai o Komete,"$15,107,891",-,-,"$15,107,891",100%
146,A Guilty Conscience,"$14,911,562",-,-,"$14,911,562",100%
147,Epic Tails,"$14,883,326","$355,088",2.40%,"$14,528,238",97.60%
148,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$14,584,970",-,-,"$14,584,970",100%
149,Dr. Cheon and Lost Talisman,"$14,574,445","$84,362",0.60%,"$14,490,083",99.40%
150,Jeanne du Barry,"$14,344,699",-,-,"$14,344,699",100%
151,Sisu,"$14,281,199","$7,265,622",50.90%,"$7,015,577",49.10%
152,Rehragout-Rendezvous,"$14,127,069",-,-,"$14,127,069",100%
153,A Moroccan Affair,"$14,075,140",-,-,"$14,075,140",100%
154,His Only Son,"$13,817,186","$12,392,740",89.70%,"$1,424,446",10.30%
155,The Point Men,"$13,433,834",-,-,"$13,433,834",100%
156,"Manta, Manta: Legacy","$13,078,126",-,-,"$13,078,126",100%
157,Three heroes and the Navel of the Earth,"$13,028,535",-,-,"$13,028,535",100%
158,Bottoms,"$12,976,079","$12,036,071",92.80%,"$940,008",7.20%
159,Championext,"$12,877,645",-,-,"$12,877,645",100%
160,Dream Scenario,"$12,763,763","$5,742,193",45%,"$7,021,570",55%
161,Love Again,"$12,696,584","$6,230,837",49.10%,"$6,465,747",50.90%
